create_dropoff_averaged_distance_to_halite,create_dropoff_halite_remaining_threshold,create_dropoff_turn_remaining_threshold,create_ship_halite_remaining_threshold,create_ship_turn_remaining_threshold,forced_return_turn_remaining_threshold,gather_position_halite_amount,halite_density_bin,map_size,players,ray_length,return_halite_amount,samples
15,0.371783522,0.603167645,0.475928108,0.537632575,0.080988093,54.03344082,18,32,4,7.794325993,821.5344334,126
15,0.40180997,0.599123017,0.39626715,0.579104444,0.070848643,85.0486099,19,32,2,5.841880648,800.9455904,131
15,0.376195704,0.592589017,0.476129992,0.539440093,0.080310429,55.95715678,19,32,4,7.455165694,817.6782405,137
15,0.399534013,0.596376945,0.396805319,0.57954174,0.069959531,87.27222591,20,32,2,5.554615799,799.5898789,131
15,0.378067181,0.585283486,0.47568781,0.544329795,0.0795631,57.76904653,20,32,4,7.121106582,813.8173367,129
15,0.397601259,0.59378402,0.397157011,0.580024239,0.069037859,89.28386478,21,32,2,5.287049545,798.3536668,84
15,0.377886216,0.580813569,0.474512179,0.551956834,0.078692621,59.50503004,21,32,4,6.791945313,809.8695721,121
15,0.395960566,0.5915242,0.397391633,0.580604129,0.068083408,91.07482771,22,32,2,5.043123557,797.2376583,68
15,0.376189432,0.578743148,0.472707631,0.561928127,0.077664765,61.18087624,22,32,4,6.472887569,805.7986867,105
15,0.394562978,0.589704347,0.397571633,0.581336188,0.067101376,92.63403073,23,32,2,4.82622727,796.235558,61
15,0.373518331,0.578713666,0.470456597,0.573377127,0.076448782,62.80891874,23,32,4,6.175448644,801.6034582,100
15,0.393393606,0.588424891,0.397747671,0.582276336,0.06609614,93.95753687,24,32,2,4.639472894,795.349002,32
15,0.370644374,0.58022926,0.468067845,0.58512999,0.075058667,64.37129809,24,32,4,5.915901374,797.4149215,106
15,0.392403774,0.587718555,0.397974129,0.583460768,0.065070047,95.04312734,25,32,2,4.485603378,794.5697822,25
15,0.368273224,0.582840038,0.465779529,0.595961908,0.073540416,65.83853794,25,32,4,5.707725929,793.4486583,66
15,0.391593398,0.587635787,0.398306418,0.584959081,0.064029064,95.89193735,26,32,2,4.36738127,793.8872494,21
15,0.366863375,0.586158089,0.463782793,0.605042083,0.071975831,67.17253705,26,32,4,5.555732442,789.8885374,54
15,0.390934638,0.588167819,0.398768199,0.586754868,0.062971112,96.51153325,27,32,2,4.285972067,793.2911488,11
15,0.366461991,0.589918914,0.462064437,0.612403182,0.070417737,68.3504145,27,32,4,5.456915957,786.834608,43
15,0.39042469,0.58929928,0.39937884,0.588886571,0.061904886,96.91032658,28,32,2,4.242623221,792.7700483,5
15,0.366930483,0.594012187,0.460650155,0.618401533,0.068897483,69.36004105,28,32,4,5.407840673,784.2763634,55
15,0.390059922,0.5910195,0.400151252,0.591361462,0.060832265,97.09982273,29,32,2,4.238261401,792.311249,3
15,0.368069482,0.598407268,0.459466081,0.623428488,0.067420576,70.20173791,29,32,4,5.404216577,782.1488924,30
15,0.389835661,0.593286698,0.401085253,0.594163158,0.059756814,97.09638978,30,32,2,4.272835337,791.9051414,3
15,0.369695859,0.603077214,0.45848996,0.627876128,0.065988038,70.8821938,30,32,4,5.443942644,780.3761685,18
15,0.389742172,0.596047288,0.402170503,0.597282222,0.058685424,96.91827851,31,32,2,4.345259199,791.5304661,2
15,0.371687541,0.607996361,0.457676956,0.631944072,0.064603266,71.40930114,31,32,4,5.524369429,778.9025744,21
